role_id,skill_id,importance
R0000,SK008,core
R0000,SK007,core
R0000,SK002,core
R0000,SK009,core
R0000,SK001,core
R0000,SK012,preferred
R0000,SK031,preferred
R0000,SK014,preferred
R0000,SK032,preferred
R0000,SK035,preferred
R0001,SK007,core
R0001,SK002,core
R0001,SK001,core
R0001,SK013,preferred
R0001,SK015,preferred
R0002,SK007,core
R0002,SK002,core
R0002,SK009,core
R0002,SK001,core
R0002,SK013,preferred
R0002,SK033,preferred
R0003,SK008,core
R0003,SK007,core
R0003,SK009,core
R0003,SK013,preferred
R0003,SK015,preferred
R0003,SK025,preferred
R0003,SK031,preferred
R0003,SK026,preferred
R0004,SK009,core
R0004,SK001,core
R0004,SK013,preferred
R0004,SK025,preferred
R0004,SK027,preferred
R0004,SK035,preferred
R0005,SK007,core
R0005,SK002,core
R0005,SK012,preferred
R0005,SK031,preferred
R0005,SK014,preferred
R0005,SK032,preferred
R0006,SK008,core
R0006,SK007,core
R0006,SK002,core
R0006,SK009,core
R0006,SK012,preferred
R0006,SK025,preferred
R0007,SK008,core
R0007,SK007,core
R0007,SK002,core
R0008,SK007,core
R0008,SK009,core
R0008,SK001,core
R0009,SK008,core
R0009,SK002,core
R0009,SK015,preferred
R0009,SK025,preferred
R0009,SK031,preferred
R0010,SK008,core
R0010,SK001,core
R0010,SK013,preferred
R0010,SK015,preferred
R0010,SK017,preferred
R0011,SK008,core
R0011,SK007,core
R0011,SK009,core
R0011,SK001,core
R0011,SK013,preferred
R0011,SK015,preferred
R0011,SK029,preferred
R0012,SK008,core
R0012,SK009,core
R0012,SK013,preferred
R0012,SK012,preferred
R0013,SK008,core
R0013,SK007,core
R0013,SK002,core
R0013,SK001,core
R0013,SK013,preferred
R0013,SK033,preferred
R0014,SK008,core
R0014,SK007,core
R0014,SK002,core
R0014,SK013,preferred
R0014,SK012,preferred
R0014,SK031,preferred
R0014,SK027,preferred
R0014,SK033,preferred
R0014,SK032,preferred
R0015,SK008,core
R0015,SK007,core
R0015,SK012,preferred
R0015,SK025,preferred
R0015,SK031,preferred
R0015,SK027,preferred
R0016,SK008,core
R0016,SK007,core
R0016,SK002,core
R0016,SK009,core
R0016,SK001,core
R0016,SK013,preferred
R0016,SK012,preferred
R0016,SK019,preferred
R0016,SK014,preferred
R0017,SK008,core
R0017,SK007,core
R0017,SK002,core
R0017,SK009,core
R0017,SK001,core
R0017,SK015,preferred
R0017,SK031,preferred
R0017,SK029,preferred
R0018,SK008,core
R0018,SK007,core
R0018,SK002,core
R0018,SK009,core
R0018,SK025,preferred
R0018,SK019,preferred
R0019,SK008,core
R0019,SK007,core
R0019,SK002,core
R0019,SK009,core
R0019,SK001,core
R0019,SK019,preferred
R0019,SK027,preferred
R0019,SK033,preferred
R0019,SK032,preferred
R0020,SK008,core
R0020,SK007,core
R0020,SK009,core
R0020,SK035,preferred
R0021,SK008,core
R0021,SK007,core
R0021,SK013,preferred
R0021,SK012,preferred
R0021,SK025,preferred
R0021,SK019,preferred
R0021,SK027,preferred
R0021,SK014,preferred
R0021,SK032,preferred
R0022,SK008,core
R0022,SK002,core
R0022,SK001,core
R0022,SK013,preferred
R0022,SK015,preferred
R0022,SK010,preferred
R0022,SK011,preferred
R0023,SK008,core
R0023,SK002,core
R0023,SK013,preferred
R0023,SK015,preferred
R0023,SK012,preferred
R0023,SK014,preferred
R0024,SK008,core
R0024,SK007,core
R0024,SK002,core
R0024,SK001,core
R0024,SK012,preferred
R0024,SK025,preferred
R0024,SK029,preferred
R0025,SK008,core
R0025,SK007,core
R0025,SK002,core
R0025,SK009,core
R0025,SK001,core
R0025,SK013,preferred
R0026,SK008,core
R0026,SK002,core
R0026,SK009,core
R0026,SK001,core
R0026,SK010,preferred
R0026,SK012,preferred
R0027,SK008,core
R0027,SK009,core
R0027,SK001,core
R0027,SK013,preferred
R0027,SK012,preferred
R0028,SK008,core
R0028,SK007,core
R0028,SK002,core
R0028,SK009,core
R0028,SK012,preferred
R0028,SK025,preferred
R0029,SK008,core
R0029,SK002,core
