role_id,company_id,role_family,year,location
R0000,C014,Backend Engineer,2025,Remote
R0001,C006,Backend Engineer,2024,Delhi NCR
R0002,C014,Backend Engineer,2023,Remote
R0003,C018,Backend Engineer,2024,Remote
R0004,C011,Backend Engineer,2023,Pune
R0005,C017,Backend Engineer,2022,Hyderabad
R0006,C007,Backend Engineer,2023,Hyderabad
R0007,C024,Backend Engineer,2025,Hyderabad
R0008,C017,Backend Engineer,2023,Chennai
R0009,C015,Backend Engineer,2024,Remote
R0010,C029,Backend Engineer,2025,Remote
R0011,C022,Backend Engineer,2025,Pune
R0012,C024,Backend Engineer,2025,Pune
R0013,C020,Backend Engineer,2023,Mumbai
R0014,C017,Backend Engineer,2025,Delhi NCR
R0015,C012,Backend Engineer,2023,Pune
R0016,C016,Backend Engineer,2026,Mumbai
R0017,C007,Backend Engineer,2022,Delhi NCR
R0018,C023,Backend Engineer,2022,Delhi NCR
R0019,C028,Backend Engineer,2024,Chennai
R0020,C013,Backend Engineer,2026,Chennai
R0021,C020,Backend Engineer,2026,Delhi NCR
R0022,C027,Software Engineer,2022,Remote
R0023,C003,Software Engineer,2025,Bengaluru
R0024,C027,Software Engineer,2023,Delhi NCR
R0025,C029,Software Engineer,2022,Mumbai
R0026,C014,Software Engineer,2023,Delhi NCR
R0027,C028,Software Engineer,2022,Bengaluru
R0028,C028,Software Engineer,2022,Delhi NCR
R0029,C008,Software Engineer,2025,Hyderabad
R0030,C011,Software Engineer,2023,Remote
R0031,C016,Software Engineer,2026,Delhi NCR
R0032,C015,Software Engineer,2023,Mumbai
R0033,C018,Software Engineer,2023,Mumbai
R0034,C026,Software Engineer,2025,Delhi NCR
R0035,C011,Software Engineer,2022,Bengaluru
R0036,C008,Software Engineer,2023,Bengaluru
R0037,C014,Software Engineer,2023,Hyderabad
R0038,C030,Software Engineer,2024,Remote
R0039,C014,Software Engineer,2023,Chennai
R0040,C014,Software Engineer,2022,Mumbai
R0041,C013,Software Engineer,2025,Chennai
R0042,C004,Software Engineer,2024,Remote
R0043,C001,Software Engineer,2026,Chennai
R0044,C010,Frontend Engineer,2026,Hyderabad
R0045,C019,Frontend Engineer,2025,Pune
R0046,C005,Frontend Engineer,2023,Bengaluru
R0047,C008,Frontend Engineer,2024,Delhi NCR
R0048,C002,Frontend Engineer,2024,Delhi NCR
R0049,C027,Frontend Engineer,2022,Chennai
R0050,C021,Frontend Engineer,2022,Delhi NCR
R0051,C028,Frontend Engineer,2026,Hyderabad
R0052,C008,Frontend Engineer,2022,Bengaluru
R0053,C024,Frontend Engineer,2022,Pune
R0054,C014,Frontend Engineer,2022,Mumbai
R0055,C016,Frontend Engineer,2023,Mumbai
R0056,C022,Frontend Engineer,2026,Mumbai
R0057,C014,Frontend Engineer,2023,Mumbai
R0058,C024,Frontend Engineer,2022,Chennai
R0059,C030,Frontend Engineer,2025,Hyderabad
R0060,C026,Frontend Engineer,2025,Pune
R0061,C018,Frontend Engineer,2024,Delhi NCR
R0062,C020,Frontend Engineer,2026,Pune
R0063,C012,Frontend Engineer,2025,Chennai
R0064,C014,Frontend Engineer,2022,Pune
R0065,C024,Frontend Engineer,2023,Mumbai
R0066,C020,Frontend Engineer,2026,Hyderabad
R0067,C030,Frontend Engineer,2024,Remote
R0068,C010,Data Engineer,2024,Chennai
R0069,C020,Data Engineer,2024,Hyderabad
R0070,C018,Data Engineer,2025,Mumbai
R0071,C015,Data Engineer,2024,Pune
R0072,C024,Data Engineer,2025,Delhi NCR
R0073,C006,Data Engineer,2023,Chennai
R0074,C020,Data Engineer,2026,Pune
R0075,C007,Data Engineer,2026,Delhi NCR
R0076,C009,Data Engineer,2024,Remote
R0077,C015,Data Engineer,2025,Hyderabad
R0078,C021,Data Engineer,2026,Mumbai
R0079,C014,Data Engineer,2023,Remote
R0080,C017,Data Engineer,2023,Remote
R0081,C008,Data Engineer,2026,Delhi NCR
R0082,C008,Data Engineer,2026,Pune
R0083,C029,Data Engineer,2026,Delhi NCR
R0084,C007,Data Engineer,2026,Remote
R0085,C028,Data Engineer,2026,Remote
R0086,C010,Data Engineer,2023,Bengaluru
R0087,C017,Data Engineer,2022,Pune
R0088,C019,ML Engineer,2022,Remote
R0089,C030,ML Engineer,2023,Mumbai
R0090,C013,ML Engineer,2023,Remote
R0091,C020,ML Engineer,2025,Chennai
R0092,C004,ML Engineer,2022,Delhi NCR
R0093,C028,ML Engineer,2026,Delhi NCR
R0094,C027,ML Engineer,2026,Pune
R0095,C027,ML Engineer,2025,Chennai
R0096,C013,ML Engineer,2022,Delhi NCR
R0097,C006,ML Engineer,2026,Chennai
R0098,C005,ML Engineer,2025,Pune
R0099,C004,ML Engineer,2026,Hyderabad
R0100,C003,ML Engineer,2026,Pune
R0101,C027,ML Engineer,2022,Remote
R0102,C003,ML Engineer,2023,Delhi NCR
R0103,C001,ML Engineer,2024,Hyderabad
R0104,C011,ML Engineer,2025,Mumbai
R0105,C004,ML Engineer,2024,Chennai
R0106,C021,ML Engineer,2026,Delhi NCR
R0107,C027,ML Engineer,2026,Hyderabad
R0108,C012,ML Engineer,2022,Hyderabad
R0109,C002,ML Engineer,2024,Delhi NCR
R0110,C007,Data Analyst,2024,Mumbai
R0111,C008,Data Analyst,2026,Hyderabad
R0112,C004,Data Analyst,2022,Bengaluru
R0113,C029,Data Analyst,2025,Remote
R0114,C002,Data Analyst,2024,Chennai
R0115,C007,Data Analyst,2025,Remote
R0116,C017,Data Analyst,2023,Bengaluru
R0117,C017,Data Analyst,2023,Chennai
R0118,C005,Data Analyst,2025,Hyderabad
R0119,C017,Data Analyst,2022,Remote
R0120,C026,Data Analyst,2026,Pune
R0121,C012,Data Analyst,2026,Hyderabad
R0122,C020,Data Analyst,2022,Bengaluru
R0123,C002,Data Analyst,2025,Pune
R0124,C020,Data Analyst,2023,Mumbai
R0125,C025,Data Analyst,2025,Delhi NCR
R0126,C004,Data Analyst,2022,Pune
R0127,C025,Data Analyst,2022,Pune
