opportunity_id,skill_id
O001,SK025
O001,SK007
O001,SK014
O002,SK016
O002,SK025
O002,SK005
O003,SK013
O003,SK035
O003,SK046
O003,SK001
O004,SK040
O004,SK038
O004,SK042
O004,SK001
O005,SK001
O005,SK028
O005,SK011
O005,SK009
O006,SK025
O006,SK008
O006,SK039
O007,SK014
O007,SK031
O007,SK027
O008,SK015
O008,SK013
O008,SK009
O008,SK045
O009,SK012
O009,SK019
O009,SK015
O009,SK014
O010,SK004
O010,SK015
O010,SK016
O011,SK032
O011,SK046
O011,SK035
O012,SK025
O012,SK040
O012,SK038
O013,SK025
O013,SK030
O013,SK001
O014,SK014
O014,SK010
O014,SK039
O015,SK033
O015,SK010
O015,SK011
O016,SK005
O016,SK009
O016,SK015
O017,SK019
O017,SK007
O017,SK025
O018,SK009
O018,SK004
O018,SK013
O018,SK022
O019,SK025
O019,SK036
O019,SK034
O019,SK038
O020,SK043
O020,SK025
O020,SK039
O020,SK044
O021,SK025
O021,SK011
O021,SK026
O021,SK009
O022,SK027
O022,SK003
O022,SK025
O022,SK037
O023,SK013
O023,SK026
O023,SK029
O023,SK032
O024,SK008
O024,SK022
O024,SK009
O025,SK025
O025,SK033
O025,SK008
O025,SK035
O026,SK005
O026,SK023
O026,SK008
O026,SK024
O027,SK032
O027,SK007
O027,SK034
O028,SK008
O028,SK001
O028,SK037
O029,SK029
O029,SK025
O029,SK028
O030,SK025
O030,SK040
O030,SK043
O030,SK007
O031,SK022
O031,SK025
O031,SK026
O031,SK001
O032,SK005
O032,SK013
O032,SK015
O033,SK027
O033,SK032
O033,SK035
O033,SK031
O034,SK016
O034,SK022
O034,SK046
O035,SK012
O035,SK008
O035,SK013
O036,SK042
O036,SK008
O036,SK041
O036,SK037
O037,SK026
O037,SK013
O037,SK029
O038,SK040
O038,SK011
O038,SK014
O038,SK008
O039,SK013
O039,SK007
O039,SK002
O040,SK022
O040,SK008
O040,SK045
O040,SK009
O041,SK014
O041,SK012
O041,SK032
O042,SK004
O042,SK017
O042,SK009
O043,SK038
O043,SK034
O043,SK036
O043,SK014
O044,SK040
O044,SK037
O044,SK039
O045,SK029
O045,SK030
O045,SK027
O046,SK044
O046,SK013
O046,SK042
O046,SK001
O047,SK004
O047,SK025
O047,SK010
O048,SK013
O048,SK022
O048,SK015
O048,SK002
O049,SK027
O049,SK026
O049,SK002
O050,SK022
O050,SK017
O050,SK024
O050,SK005
O051,SK013
O051,SK007
O051,SK032
O051,SK025
O052,SK037
O052,SK038
O052,SK040
O052,SK007
O053,SK030
O053,SK014
O053,SK026
O053,SK001
O054,SK027
O054,SK038
O054,SK025
O054,SK041
O055,SK014
O055,SK027
O055,SK035
O056,SK045
O056,SK013
O056,SK009
O057,SK009
O057,SK012
O057,SK007
O058,SK008
O058,SK004
O058,SK025
O059,SK037
O059,SK012
O059,SK001
O060,SK008
O060,SK027
O060,SK001
O061,SK025
O061,SK028
O061,SK030
O062,SK027
O062,SK008
O062,SK040
O063,SK013
O063,SK011
O063,SK008
O063,SK004
O064,SK005
O064,SK009
O064,SK013
O064,SK045
O065,SK025
O065,SK019
O065,SK014
O066,SK009
O066,SK025
O066,SK024
O066,SK023
O067,SK032
O067,SK046
O067,SK027
O067,SK012
O068,SK044
O068,SK025
O068,SK007
O069,SK026
O069,SK009
O069,SK027
O070,SK014
O070,SK003
O070,SK001
O071,SK031
O071,SK010
O071,SK013
O072,SK015
O072,SK008
O072,SK013
O072,SK005
O073,SK033
O073,SK013
O073,SK027
O074,SK009
O074,SK046
O074,SK015
O075,SK031
O075,SK046
O075,SK038
O076,SK007
O076,SK041
O076,SK008
O076,SK042
O077,SK029
O077,SK013
O077,SK026
O077,SK011
O078,SK001
O078,SK025
O078,SK007
O079,SK013
O079,SK010
O079,SK017
O079,SK033
O080,SK013
O080,SK045
O080,SK015
O080,SK002
