placement_id,student_id,role_id,company_id,year,outcome,package_lpa
P0000,S0112,R0000,C014,2025,not_placed,
P0001,S0174,R0001,C006,2024,placed,23.72
P0002,S0112,R0002,C014,2023,not_placed,
P0003,S0174,R0003,C018,2024,placed,6.96
P0004,S0112,R0004,C011,2023,placed,23.08
P0005,S0174,R0005,C017,2022,not_placed,
P0006,S0112,R0006,C007,2023,not_placed,
P0007,S0174,R0007,C024,2025,placed,28.41
P0008,S0112,R0008,C017,2023,not_placed,
P0009,S0174,R0009,C015,2024,not_placed,
P0010,S0112,R0010,C029,2025,placed,29.15
P0011,S0174,R0011,C022,2025,placed,21.92
P0012,S0112,R0012,C024,2025,placed,17.6
P0013,S0174,R0013,C020,2023,placed,24.36
P0014,S0112,R0014,C017,2025,placed,16.27
P0015,S0174,R0015,C012,2023,placed,20.6
P0016,S0112,R0016,C016,2026,placed,22.81
P0017,S0174,R0017,C007,2022,not_placed,
P0018,S0112,R0018,C023,2022,not_placed,
P0019,S0174,R0019,C028,2024,not_placed,
P0020,S0112,R0020,C013,2026,placed,17.61
P0021,S0174,R0021,C020,2026,placed,13.04
P0022,S0091,R0022,C027,2022,placed,13.75
P0023,S0122,R0023,C003,2025,placed,29.99
P0024,S0156,R0024,C027,2023,not_placed,
P0025,S0161,R0025,C029,2022,placed,26.24
P0026,S0173,R0026,C014,2023,placed,29.9
P0027,S0209,R0027,C028,2022,not_placed,
P0028,S0010,R0028,C028,2022,placed,10.35
P0029,S0091,R0029,C008,2025,not_placed,
P0030,S0122,R0030,C011,2023,not_placed,
P0031,S0156,R0031,C016,2026,placed,10.36
P0032,S0161,R0032,C015,2023,not_placed,
P0033,S0173,R0033,C018,2023,placed,8.51
P0034,S0209,R0034,C026,2025,not_placed,
P0035,S0010,R0035,C011,2022,not_placed,
P0036,S0091,R0036,C008,2023,placed,24.94
P0037,S0122,R0037,C014,2023,not_placed,
P0038,S0156,R0038,C030,2024,placed,13.53
P0039,S0161,R0039,C014,2023,placed,10.66
P0040,S0173,R0040,C014,2022,placed,12.74
P0041,S0209,R0041,C013,2025,not_placed,
P0042,S0010,R0042,C004,2024,placed,13.89
P0043,S0091,R0043,C001,2026,not_placed,
P0044,S0004,R0044,C010,2026,not_placed,
P0045,S0053,R0045,C019,2025,placed,29.3
P0046,S0067,R0046,C005,2023,not_placed,
P0047,S0157,R0047,C008,2024,placed,13.95
P0048,S0004,R0048,C002,2024,placed,15.57
P0049,S0053,R0049,C027,2022,placed,10.84
P0050,S0067,R0050,C021,2022,placed,21.17
P0051,S0157,R0051,C028,2026,placed,23.2
P0052,S0004,R0052,C008,2022,not_placed,
P0053,S0053,R0053,C024,2022,not_placed,
P0054,S0067,R0054,C014,2022,not_placed,
P0055,S0157,R0055,C016,2023,placed,8.91
P0056,S0004,R0056,C022,2026,not_placed,
P0057,S0053,R0057,C014,2023,placed,14.59
P0058,S0067,R0058,C024,2022,placed,10.58
P0059,S0157,R0059,C030,2025,placed,8.78
P0060,S0004,R0060,C026,2025,not_placed,
P0061,S0053,R0061,C018,2024,placed,13.53
P0062,S0067,R0062,C020,2026,not_placed,
P0063,S0157,R0063,C012,2025,not_placed,
P0064,S0004,R0064,C014,2022,not_placed,
P0065,S0053,R0065,C024,2023,not_placed,
P0066,S0067,R0066,C020,2026,placed,15.47
P0067,S0157,R0067,C030,2024,not_placed,
P0068,S0062,R0068,C010,2024,not_placed,
P0069,S0093,R0069,C020,2024,placed,24.98
P0070,S0106,R0070,C018,2025,placed,22
P0071,S0175,R0071,C015,2024,not_placed,
P0072,S0062,R0072,C024,2025,placed,12.77
P0073,S0093,R0073,C006,2023,placed,16.81
P0074,S0106,R0074,C020,2026,placed,26.71
P0075,S0175,R0075,C007,2026,not_placed,
P0076,S0062,R0076,C009,2024,not_placed,
P0077,S0093,R0077,C015,2025,placed,17.46
P0078,S0106,R0078,C021,2026,not_placed,
P0079,S0175,R0079,C014,2023,placed,28.02
P0080,S0062,R0080,C017,2023,placed,27.96
P0081,S0093,R0081,C008,2026,placed,15.35
P0082,S0106,R0082,C008,2026,not_placed,
P0083,S0175,R0083,C029,2026,placed,6.21
P0084,S0062,R0084,C007,2026,not_placed,
P0085,S0093,R0085,C028,2026,not_placed,
P0086,S0106,R0086,C010,2023,not_placed,
P0087,S0175,R0087,C017,2022,not_placed,
P0088,S0115,R0088,C019,2022,placed,17.63
P0089,S0153,R0089,C030,2023,placed,16.58
P0090,S0216,R0090,C013,2023,placed,10.43
P0091,S0003,R0091,C020,2025,placed,15.86
P0092,S0047,R0092,C004,2022,placed,25.86
P0093,S0071,R0093,C028,2026,placed,29.8
P0094,S0092,R0094,C027,2026,placed,26.97
P0095,S0115,R0095,C027,2025,not_placed,
P0096,S0153,R0096,C013,2022,not_placed,
P0097,S0216,R0097,C006,2026,placed,18.09
P0098,S0003,R0098,C005,2025,placed,23.84
P0099,S0047,R0099,C004,2026,not_placed,
P0100,S0071,R0100,C003,2026,not_placed,
P0101,S0092,R0101,C027,2022,placed,19.63
P0102,S0115,R0102,C003,2023,not_placed,
P0103,S0153,R0103,C001,2024,placed,16.65
P0104,S0216,R0104,C011,2025,not_placed,
P0105,S0003,R0105,C004,2024,placed,16.65
P0106,S0047,R0106,C021,2026,placed,9.53
P0107,S0071,R0107,C027,2026,not_placed,
P0108,S0092,R0108,C012,2022,placed,7.3
P0109,S0115,R0109,C002,2024,placed,17.77
P0110,S0124,R0110,C007,2024,placed,28.45
P0111,S0138,R0111,C008,2026,not_placed,
P0112,S0179,R0112,C004,2022,placed,8.67
P0113,S0181,R0113,C029,2025,placed,27.37
P0114,S0005,R0114,C002,2024,placed,24.65
P0115,S0051,R0115,C007,2025,placed,24.08
P0116,S0124,R0116,C017,2023,not_placed,
P0117,S0138,R0117,C017,2023,not_placed,
P0118,S0179,R0118,C005,2025,placed,13.96
P0119,S0181,R0119,C017,2022,not_placed,
P0120,S0005,R0120,C026,2026,placed,8.43
P0121,S0051,R0121,C012,2026,placed,22.58
P0122,S0124,R0122,C020,2022,placed,13.21
P0123,S0138,R0123,C002,2025,not_placed,
P0124,S0179,R0124,C020,2023,not_placed,
P0125,S0181,R0125,C025,2025,placed,20.58
P0126,S0005,R0126,C004,2022,placed,10.89
P0127,S0051,R0127,C025,2022,not_placed,
