student_id,skill_id,proficiency
S0000,SK005,beginner
S0000,SK015,intermediate
S0000,SK016,advanced
S0001,SK040,intermediate
S0001,SK008,beginner
S0001,SK009,beginner
S0001,SK015,advanced
S0002,SK001,advanced
S0002,SK037,intermediate
S0002,SK039,advanced
S0002,SK038,beginner
S0002,SK044,beginner
S0002,SK005,beginner
S0003,SK001,intermediate
S0003,SK037,intermediate
S0003,SK039,advanced
S0003,SK040,beginner
S0003,SK041,beginner
S0003,SK025,intermediate
S0003,SK044,intermediate
S0003,SK012,advanced
S0004,SK004,advanced
S0004,SK022,beginner
S0004,SK005,beginner
S0004,SK013,intermediate
S0004,SK009,advanced
S0004,SK043,advanced
S0004,SK035,intermediate
S0005,SK001,beginner
S0005,SK037,intermediate
S0005,SK013,intermediate
S0005,SK010,beginner
S0005,SK039,advanced
S0006,SK013,intermediate
S0006,SK015,advanced
S0006,SK007,intermediate
S0007,SK013,advanced
S0007,SK007,beginner
S0007,SK005,advanced
S0007,SK001,intermediate
S0007,SK036,advanced
S0007,SK012,intermediate
S0008,SK025,advanced
S0008,SK029,advanced
S0008,SK013,intermediate
S0008,SK001,beginner
S0008,SK011,intermediate
S0008,SK039,beginner
S0008,SK028,advanced
S0009,SK001,advanced
S0009,SK037,intermediate
S0009,SK008,advanced
S0009,SK005,beginner
S0009,SK016,advanced
S0010,SK008,beginner
S0010,SK007,beginner
S0010,SK002,beginner
S0010,SK009,advanced
S0010,SK001,beginner
S0010,SK015,advanced
S0010,SK014,intermediate
S0010,SK038,intermediate
S0011,SK007,beginner
S0011,SK001,beginner
S0011,SK036,beginner
S0011,SK035,beginner
S0011,SK027,beginner
S0011,SK023,beginner
S0012,SK002,intermediate
S0012,SK013,intermediate
S0012,SK015,advanced
S0013,SK025,intermediate
S0013,SK026,beginner
S0013,SK029,advanced
S0013,SK027,intermediate
S0013,SK013,beginner
S0013,SK023,advanced
S0014,SK045,beginner
S0014,SK002,intermediate
S0014,SK013,beginner
S0014,SK015,beginner
S0015,SK004,beginner
S0015,SK022,advanced
S0015,SK013,intermediate
S0015,SK041,intermediate
S0016,SK025,beginner
S0016,SK029,beginner
S0016,SK027,intermediate
S0016,SK030,beginner
S0016,SK009,intermediate
S0016,SK012,advanced
S0017,SK001,intermediate
S0017,SK012,intermediate
S0017,SK015,beginner
S0017,SK040,intermediate
S0018,SK013,intermediate
S0018,SK001,advanced
S0018,SK019,advanced
S0018,SK016,intermediate
S0019,SK025,beginner
S0019,SK014,intermediate
S0019,SK026,beginner
S0019,SK029,advanced
S0019,SK027,intermediate
S0019,SK001,beginner
S0019,SK039,beginner
S0020,SK008,advanced
S0020,SK007,intermediate
S0020,SK002,beginner
S0020,SK001,intermediate
S0020,SK022,advanced
S0020,SK043,intermediate
S0021,SK022,intermediate
S0021,SK013,intermediate
S0021,SK005,advanced
S0021,SK046,intermediate
S0021,SK001,beginner
S0021,SK014,beginner
S0022,SK004,beginner
S0022,SK022,intermediate
S0022,SK005,intermediate
S0022,SK023,intermediate
S0022,SK046,intermediate
S0022,SK036,advanced
S0023,SK001,advanced
S0024,SK001,intermediate
S0024,SK038,beginner
S0024,SK008,intermediate
S0024,SK013,advanced
S0025,SK007,intermediate
S0025,SK001,beginner
S0025,SK034,beginner
S0025,SK012,beginner
S0025,SK031,advanced
S0025,SK004,beginner
S0026,SK022,beginner
S0026,SK013,beginner
S0026,SK015,advanced
S0026,SK028,beginner
S0026,SK039,intermediate
S0027,SK025,advanced
S0027,SK026,beginner
S0027,SK029,intermediate
S0027,SK027,advanced
S0027,SK001,beginner
S0027,SK028,advanced
S0027,SK045,advanced
S0028,SK012,intermediate
S0029,SK014,advanced
S0029,SK026,intermediate
S0029,SK027,advanced
S0029,SK001,intermediate
S0029,SK011,beginner
S0029,SK035,intermediate
S0030,SK007,intermediate
S0030,SK035,advanced
S0030,SK031,intermediate
S0030,SK027,beginner
S0030,SK025,advanced
S0030,SK008,advanced
S0030,SK032,advanced
S0030,SK006,intermediate
S0031,SK013,beginner
S0031,SK008,intermediate
S0031,SK018,advanced
S0032,SK045,intermediate
S0032,SK002,advanced
S0032,SK013,beginner
S0032,SK015,intermediate
S0032,SK009,intermediate
S0032,SK005,intermediate
S0033,SK001,intermediate
S0033,SK020,beginner
S0033,SK016,beginner
S0034,SK004,advanced
S0034,SK007,advanced
S0034,SK005,beginner
S0034,SK008,beginner
S0034,SK033,intermediate
S0034,SK018,advanced
S0035,SK001,advanced
S0035,SK039,beginner
S0035,SK040,intermediate
S0035,SK038,beginner
S0035,SK008,advanced
S0035,SK007,advanced
S0035,SK025,beginner
S0035,SK043,intermediate
S0035,SK024,beginner
S0035,SK014,beginner
S0036,SK008,advanced
S0036,SK010,beginner
S0036,SK012,advanced
S0036,SK003,intermediate
S0036,SK043,beginner
S0037,SK036,intermediate
S0037,SK031,intermediate
S0037,SK008,beginner
S0037,SK026,intermediate
S0038,SK013,beginner
S0038,SK046,beginner
S0038,SK007,advanced
S0039,SK001,intermediate
S0039,SK036,beginner
S0039,SK012,beginner
S0039,SK035,beginner
S0039,SK031,advanced
S0040,SK008,beginner
S0040,SK009,beginner
S0040,SK001,advanced
S0040,SK013,intermediate
S0040,SK019,advanced
S0040,SK033,intermediate
S0040,SK011,advanced
S0041,SK001,beginner
S0041,SK007,advanced
S0041,SK014,advanced
S0041,SK024,beginner
S0042,SK025,intermediate
S0042,SK014,intermediate
S0042,SK011,advanced
S0042,SK042,intermediate
S0043,SK025,advanced
S0043,SK014,beginner
S0043,SK026,beginner
S0043,SK029,intermediate
S0043,SK013,advanced
S0043,SK030,advanced
S0043,SK028,advanced
S0044,SK022,beginner
S0044,SK017,advanced
S0044,SK043,beginner
S0045,SK008,intermediate
S0045,SK007,intermediate
S0045,SK002,advanced
S0045,SK009,beginner
S0045,SK015,advanced
S0045,SK044,advanced
S0046,SK045,intermediate
S0046,SK046,intermediate
S0047,SK001,advanced
S0047,SK037,advanced
S0047,SK039,advanced
S0047,SK008,advanced
S0047,SK041,advanced
S0047,SK027,advanced
S0047,SK003,intermediate
S0047,SK045,beginner
S0048,SK034,beginner
S0049,SK045,intermediate
S0049,SK002,beginner
S0049,SK005,advanced
S0050,SK010,beginner
S0050,SK014,beginner
S0050,SK008,advanced
S0050,SK011,intermediate
S0050,SK001,advanced
S0051,SK007,beginner
S0051,SK001,beginner
S0051,SK012,intermediate
S0051,SK013,beginner
S0051,SK033,beginner
S0052,SK010,advanced
S0052,SK008,intermediate
S0052,SK038,beginner
S0052,SK022,advanced
S0053,SK004,advanced
S0053,SK022,beginner
S0053,SK013,intermediate
S0053,SK015,intermediate
S0053,SK009,intermediate
S0053,SK046,advanced
S0053,SK024,beginner
S0053,SK025,beginner
S0053,SK017,advanced
S0053,SK035,beginner
S0054,SK008,intermediate
S0054,SK007,advanced
S0054,SK009,intermediate
S0054,SK013,advanced
S0054,SK015,beginner
S0054,SK026,intermediate
S0054,SK029,beginner
S0054,SK031,advanced
S0055,SK001,advanced
S0055,SK037,intermediate
S0055,SK040,advanced
S0055,SK008,beginner
S0055,SK046,intermediate
S0056,SK008,beginner
S0056,SK007,advanced
S0056,SK009,intermediate
S0056,SK013,advanced
S0056,SK012,intermediate
S0056,SK032,beginner
S0057,SK007,beginner
S0057,SK001,intermediate
S0057,SK006,intermediate
S0058,SK015,beginner
S0058,SK007,advanced
S0058,SK041,advanced
S0058,SK029,intermediate
S0059,SK022,beginner
S0059,SK005,beginner
S0059,SK013,advanced
S0059,SK046,intermediate
S0059,SK017,beginner
S0060,SK026,intermediate
S0060,SK029,beginner
S0060,SK027,intermediate
S0060,SK011,advanced
S0060,SK024,intermediate
S0061,SK025,beginner
S0061,SK014,intermediate
S0061,SK026,intermediate
S0061,SK029,intermediate
S0061,SK013,beginner
S0061,SK030,advanced
S0061,SK009,intermediate
S0061,SK022,beginner
S0062,SK007,advanced
S0062,SK034,advanced
S0062,SK036,advanced
S0062,SK012,advanced
S0062,SK035,beginner
S0062,SK025,advanced
S0062,SK008,beginner
S0062,SK014,advanced
S0063,SK025,intermediate
S0063,SK026,beginner
S0063,SK029,intermediate
S0063,SK011,intermediate
S0064,SK004,intermediate
S0064,SK022,intermediate
S0065,SK004,intermediate
S0065,SK005,intermediate
S0065,SK008,advanced
S0066,SK007,intermediate
S0066,SK013,advanced
S0067,SK004,intermediate
S0067,SK005,advanced
S0067,SK013,advanced
S0067,SK015,beginner
S0067,SK008,beginner
S0067,SK024,advanced
S0067,SK027,beginner
S0068,SK029,advanced
S0068,SK027,beginner
S0068,SK012,advanced
S0069,SK007,advanced
S0069,SK026,beginner
S0069,SK032,intermediate
S0070,SK014,intermediate
S0070,SK011,advanced
S0070,SK001,intermediate
S0071,SK001,advanced
S0071,SK037,advanced
S0071,SK039,advanced
S0071,SK040,beginner
S0071,SK008,beginner
S0071,SK007,intermediate
S0071,SK027,advanced
S0072,SK001,intermediate
S0072,SK039,intermediate
S0072,SK040,intermediate
S0072,SK038,intermediate
S0072,SK007,advanced
S0072,SK041,beginner
S0072,SK042,advanced
S0072,SK046,intermediate
S0073,SK007,advanced
S0073,SK001,advanced
S0073,SK038,intermediate
S0073,SK013,beginner
S0073,SK039,intermediate
S0073,SK028,intermediate
S0074,SK025,advanced
S0074,SK026,advanced
S0074,SK029,intermediate
S0074,SK027,intermediate
S0074,SK013,beginner
S0074,SK011,intermediate
S0074,SK001,beginner
S0075,SK007,intermediate
S0075,SK002,advanced
S0075,SK009,intermediate
S0075,SK012,beginner
S0076,SK014,advanced
S0076,SK026,advanced
S0076,SK029,intermediate
S0076,SK013,intermediate
S0076,SK030,advanced
S0077,SK007,advanced
S0077,SK009,advanced
S0077,SK001,intermediate
S0077,SK027,intermediate
S0077,SK022,intermediate
S0078,SK003,beginner
S0078,SK010,beginner
S0078,SK014,intermediate
S0078,SK008,beginner
S0078,SK013,advanced
S0078,SK005,intermediate
S0078,SK018,advanced
S0079,SK004,advanced
S0079,SK022,beginner
S0079,SK005,advanced
S0079,SK013,advanced
S0080,SK003,advanced
S0080,SK010,advanced
S0080,SK008,beginner
S0080,SK001,advanced
S0080,SK041,advanced
S0081,SK045,advanced
S0081,SK002,beginner
S0081,SK013,intermediate
S0081,SK008,intermediate
S0082,SK001,advanced
S0082,SK039,advanced
S0082,SK007,advanced
S0083,SK045,intermediate
S0083,SK002,advanced
S0083,SK013,beginner
S0083,SK008,intermediate
S0083,SK005,intermediate
S0083,SK026,beginner
S0084,SK007,advanced
S0084,SK008,advanced
S0084,SK029,intermediate
S0084,SK014,intermediate
S0084,SK021,advanced
S0084,SK042,advanced
S0085,SK004,advanced
S0085,SK007,intermediate
S0085,SK005,beginner
S0085,SK015,intermediate
S0085,SK001,advanced
S0085,SK010,beginner
S0085,SK044,advanced
S0086,SK007,beginner
S0086,SK008,beginner
S0087,SK015,advanced
S0087,SK001,beginner
S0088,SK004,advanced
S0088,SK022,intermediate
S0088,SK013,intermediate
S0088,SK015,beginner
S0088,SK024,beginner
S0088,SK035,advanced
S0088,SK040,beginner
S0089,SK008,intermediate
S0089,SK007,intermediate
S0089,SK002,advanced
S0089,SK009,advanced
S0089,SK001,advanced
S0089,SK031,advanced
S0089,SK027,intermediate
S0089,SK017,beginner
S0089,SK041,advanced
S0090,SK007,advanced
S0090,SK034,advanced
S0090,SK031,advanced
S0090,SK027,intermediate
S0091,SK008,beginner
S0091,SK002,intermediate
S0091,SK001,intermediate
S0091,SK013,intermediate
S0091,SK012,intermediate
S0091,SK011,intermediate
S0092,SK001,beginner
S0092,SK039,intermediate
S0092,SK038,advanced
S0092,SK041,beginner
S0092,SK025,beginner
S0092,SK043,beginner
S0092,SK040,advanced
S0092,SK021,intermediate
S0093,SK007,intermediate
S0093,SK036,intermediate
S0093,SK035,beginner
S0093,SK027,advanced
S0093,SK008,intermediate
S0093,SK014,intermediate
S0094,SK022,beginner
S0094,SK005,beginner
S0094,SK015,intermediate
S0094,SK046,advanced
S0094,SK001,beginner
S0094,SK045,advanced
S0094,SK036,beginner
S0095,SK008,beginner
S0095,SK025,intermediate
S0096,SK001,intermediate
S0096,SK007,beginner
S0096,SK023,intermediate
S0097,SK034,intermediate
S0098,SK045,intermediate
S0098,SK002,beginner
S0098,SK013,intermediate
S0098,SK008,intermediate
S0098,SK015,intermediate
S0098,SK022,advanced
S0098,SK028,beginner
S0099,SK003,advanced
S0099,SK014,intermediate
S0099,SK008,beginner
S0099,SK040,advanced
S0100,SK043,beginner
S0101,SK045,advanced
S0101,SK002,advanced
S0101,SK015,advanced
S0101,SK022,intermediate
S0101,SK008,intermediate
S0101,SK023,advanced
S0102,SK008,intermediate
S0102,SK009,intermediate
S0102,SK013,intermediate
S0102,SK010,beginner
S0102,SK017,beginner
S0102,SK003,beginner
S0103,SK045,beginner
